"question","support","race_white","age","high.income","trump_approve","party","treat","weight"
"School_Guns",1,1,62,0,1,"democrat","libtrump",1.02581133673441
"School_Guns",1,1,64,1,1,"democrat","control",0.941804964555055
"Guns_Background",1,1,63,0,1,"independent","control",1.0408221916353
"Tax_Increase",NA,0,51,NA,3,"independent","libtrump",0.939037708517323
"Health_Care",1,1,43,0,1,"democrat","control",1.01306376218489
"School_Guns",1,1,27,0,1,"independent","control",0.988780697262547
"Health_Care",NA,1,60,0,3,"republican","control",0.94131323916439
"School_Guns",1,0,25,0,1,"democrat","control",0.931634035481147
"Iran_Agreement",NA,1,29,0,3,"independent","control",0.934395530384833
"Iran_Agreement",0,1,69,NA,4,"republican","control",1.0141949770749
"Health_Care",0,1,38,0,NA,"independent","libtrump",0.982133654392935
"Minimum_Wage",1,1,21,NA,2,"independent","control",1.02552031309575
"Minimum_Wage",1,1,25,0,NA,"democrat","libtrump",1.0039595722294
"Abortion",1,1,25,0,3,"republican","control",0.933968510284903
"Health_Care",NA,0,38,0,3,"republican","control",0.945478456282894
"Iran_Agreement",NA,1,64,1,4,"republican","control",1.03507204983936
"Minimum_Wage",1,0,28,0,NA,"independent","control",0.972703346189175
"Guns_Background",1,0,30,0,1,"democrat","libtrump",0.978636142763081
"Guns_Background",NA,1,22,0,3,"democrat","control",0.958698953932267
"Minimum_Wage",1,1,40,0,NA,"independent","control",1.05646514262049
"School_Guns",1,1,64,1,4,"republican","libtrump",0.999185701278184
"Iran_Agreement",0,0,63,1,5,"independent","control",1.03256135938168
"Abortion",0,1,74,0,5,"republican","libtrump",0.983694475420996
"Minimum_Wage",1,1,57,0,2,"independent","libtrump",1.00817378726269
"Guns_Background",1,0,28,0,1,"democrat","control",1.06924656814268
"Planned_Parenthood",1,1,28,0,1,"independent","control",0.962343888219156
"Abortion",1,1,25,NA,4,"democrat","libtrump",0.986767538315741
"Planned_Parenthood",1,1,31,1,1,"democrat","control",1.01408678455537
"Health_Care",1,0,44,0,1,"democrat","control",0.976192150904943
"Health_Care",1,1,36,0,NA,"republican","control",0.968470257863647
"Tax_Increase",NA,1,29,0,1,"independent","libtrump",0.917654074744861
"Abortion",1,1,74,1,5,"independent","control",0.965828660816589
"Immigration",0,1,28,0,3,"independent","control",1.00227374534765
"Planned_Parenthood",0,1,28,0,4,"independent","control",0.995710002713404
"Iran_Agreement",1,1,60,NA,4,"republican","control",1.0002971863636
"Guns_Background",1,1,46,NA,1,"democrat","control",1.01097973668365
"Guns_Background",0,0,31,0,1,"independent","control",0.987379507353801
"Guns_Background",1,1,51,1,5,"republican","control",1.05446460530003
"Planned_Parenthood",1,1,41,0,1,"independent","control",0.970875850418077
"Immigration",0,1,59,0,4,"republican","control",0.963119272738949
"Guns_Background",1,0,64,0,1,"democrat","control",1.07617292721149
"Tax_Increase",1,1,64,1,3,"independent","libtrump",0.982287594330776
"Abortion",1,0,67,0,1,"democrat","control",1.10647742650931
"Health_Care",0,0,39,NA,5,"republican","libtrump",0.99630049327134
"Guns_Background",1,0,43,0,3,"independent","control",1.04625395999289
"School_Guns",1,1,39,0,2,"independent","control",0.984567262166706
"Immigration",0,1,54,1,4,"republican","control",0.933614768380493
"Iran_Agreement",0,1,83,0,5,"republican","control",1.07288183120764
"Health_Care",1,0,43,0,1,"democrat","control",0.978929667520218
"Guns_Background",0,1,52,0,4,"independent","libtrump",1.0720632686249
"Planned_Parenthood",1,1,62,1,1,"democrat","control",1.0512325130587
"Abortion",1,1,57,0,2,"independent","libtrump",0.944780719336401
"Iran_Agreement",1,0,19,0,3,"democrat","libtrump",1.01085390535703
"Immigration",NA,1,33,0,1,"independent","control",0.994700498371922
"Planned_Parenthood",0,1,36,1,4,"republican","control",1.08180098713672
"Abortion",0,1,56,0,2,"independent","control",0.975068230010522
"Tax_Increase",NA,0,77,0,5,"republican","control",0.941119975197205
"Immigration",NA,0,39,NA,2,"democrat","control",1.05312535899311
"Health_Care",1,1,28,0,5,"democrat","libtrump",0.980137434924399
"Abortion",1,1,26,1,1,"democrat","libtrump",1.06968775500696
"Tax_Increase",1,1,39,NA,1,"democrat","control",0.948632816919615
"Guns_Background",1,1,60,1,1,"democrat","libtrump",1.01200671551878
"Guns_Background",0,1,75,0,5,"republican","control",1.03736020079473
"School_Guns",0,1,56,0,2,"independent","control",0.95914168515231
"Climate_Change",1,0,47,0,5,"republican","control",0.978916745680135
"Guns_Background",0,0,19,0,3,"democrat","libtrump",1.00053330073263
"Iran_Agreement",1,0,66,0,1,"democrat","control",0.996845140521891
"Planned_Parenthood",0,1,64,0,4,"republican","libtrump",0.965140210233956
"Abortion",0,1,48,1,4,"republican","control",1.00889000718803
"Abortion",1,1,47,0,5,"republican","libtrump",1.06250350383004
"Immigration",1,1,28,0,5,"democrat","libtrump",0.961723402779224
"Immigration",NA,1,40,0,3,"republican","libtrump",1.00469020327003
"Guns_Background",1,1,48,0,4,"independent","libtrump",0.959091872490772
"Tax_Increase",1,1,48,1,4,"republican","control",1.05394536504214
"Climate_Change",1,1,27,0,1,"independent","libtrump",0.996941975127839
"Climate_Change",1,1,24,0,5,"democrat","libtrump",0.985588018846377
"Tax_Increase",0,1,57,0,5,"independent","control",0.964413224547893
"Immigration",1,1,64,1,1,"democrat","control",1.04977712726656
"Abortion",NA,1,59,1,5,"democrat","control",0.989728490051491
"Guns_Background",1,0,47,0,5,"republican","control",1.02700019726732
"Immigration",1,1,43,0,1,"democrat","control",0.931771971907756
"Tax_Increase",0,1,36,1,4,"republican","control",1.00179124339123
"School_Guns",NA,0,34,1,NA,"republican","libtrump",1.00275521398618
"Immigration",0,1,36,NA,4,"republican","control",1.00123081157164
"Iran_Agreement",0,1,59,1,5,"democrat","control",1.04114530746418
"Guns_Background",1,1,42,NA,1,"independent","libtrump",1.01779437801833
"Immigration",0,1,71,NA,5,"independent","control",1.00309132829015
"Abortion",1,1,55,1,1,"democrat","libtrump",0.967366628554257
"Tax_Increase",0,1,57,1,4,"republican","control",0.967533336563548
"Planned_Parenthood",0,0,64,0,1,"democrat","control",0.861814732234215
"Climate_Change",1,1,47,0,2,"democrat","control",1.02933851074382
"Climate_Change",1,1,29,0,1,"democrat","control",1.11878640360203
"Tax_Increase",1,1,60,0,3,"independent","libtrump",0.948440252932777
"Planned_Parenthood",0,1,60,NA,4,"republican","control",0.99859663954876
"Minimum_Wage",1,0,58,NA,1,"independent","control",1.0321507856664
"School_Guns",1,1,34,0,1,"democrat","control",0.995515559506651
"Minimum_Wage",1,1,63,0,4,"republican","libtrump",0.990122303833268
"Minimum_Wage",0,1,56,1,5,"republican","libtrump",1.07308671272355
"Tax_Increase",1,1,48,0,4,"independent","libtrump",1.04253915793198
"Tax_Increase",1,1,74,NA,1,"democrat","control",0.969921137333655
"Climate_Change",1,0,77,0,4,"republican","libtrump",0.92575139237346
"Climate_Change",NA,1,23,0,5,"republican","control",1.00938289150865
"Abortion",0,1,37,NA,3,"independent","control",1.05395653575034
"Health_Care",1,1,27,1,5,"independent","libtrump",1.0379421488679
"Climate_Change",1,1,35,0,1,"democrat","control",0.995603064292396
"Immigration",0,1,63,0,5,"republican","libtrump",0.96520847025957
"Abortion",0,1,41,0,2,"democrat","libtrump",0.995374754826249
"School_Guns",0,1,56,0,4,"republican","control",0.89900657793326
"School_Guns",1,1,79,0,5,"republican","libtrump",1.03047854677384
"Abortion",NA,1,44,0,5,"republican","control",1.057132393929
"Health_Care",1,1,29,1,1,"democrat","control",0.947950741656424
"Climate_Change",NA,1,57,0,4,"republican","control",0.951815619071765
"Immigration",0,1,53,0,3,"democrat","libtrump",1.06231119995028
"Iran_Agreement",NA,1,22,NA,1,"democrat","control",0.989787509732225
"Health_Care",0,0,22,0,1,"democrat","control",1.00386939584079
"Climate_Change",NA,1,40,NA,1,"democrat","control",1.07168955840201
"Health_Care",1,1,60,0,3,"independent","control",1.0349973299076
"Tax_Increase",1,1,33,0,4,"democrat","control",0.9942574426339
"Planned_Parenthood",0,0,53,1,5,"republican","control",0.975915686649177
"Guns_Background",1,0,42,0,1,"democrat","libtrump",1.09307105282251
"Iran_Agreement",1,1,26,0,2,"democrat","control",1.05669804430407
"Iran_Agreement",NA,0,60,0,4,"independent","libtrump",0.997867920791844
"School_Guns",1,1,52,0,1,"independent","control",1.02052084579891
"Health_Care",0,0,30,0,5,"republican","control",1.04981315198673
"Tax_Increase",0,1,80,0,3,"independent","control",0.959594794313303
"Climate_Change",0,1,64,0,5,"republican","libtrump",0.957175848805353
"Abortion",1,1,36,0,NA,"republican","control",1.10789096237461
"Iran_Agreement",0,1,76,0,5,"republican","libtrump",0.989806274764405
"Minimum_Wage",1,1,38,1,1,"democrat","control",1.10087315376284
"Immigration",0,1,43,1,5,"republican","libtrump",0.99473271184722
"Guns_Background",1,1,71,0,4,"republican","libtrump",0.996452218618962
"Immigration",0,0,36,0,2,"independent","control",0.9922222128061
"Tax_Increase",1,1,64,1,5,"republican","libtrump",1.00661511651941
"Iran_Agreement",NA,1,51,1,5,"republican","control",1.09928375591575
"Planned_Parenthood",1,1,61,0,1,"democrat","control",0.991822380748587
"Minimum_Wage",1,1,22,1,1,"democrat","control",1.01279034007195
"Health_Care",1,0,56,0,5,"independent","libtrump",1.03667778928855
"Minimum_Wage",1,0,63,0,1,"democrat","libtrump",1.00537597088653
"Immigration",NA,1,25,0,3,"republican","libtrump",1.06871195273712
"Minimum_Wage",NA,1,58,1,4,"independent","libtrump",0.936666650468649
"Planned_Parenthood",1,1,60,1,1,"democrat","control",0.997752295303001
"Guns_Background",NA,1,33,0,NA,"independent","control",1.07480247750886
"Tax_Increase",0,1,23,0,5,"republican","control",0.939459240936789
"Immigration",0,1,61,0,4,"republican","control",0.973409971163888
"Planned_Parenthood",0,1,63,0,4,"republican","libtrump",0.982435865846584
"Abortion",NA,1,52,1,4,"independent","control",1.02079339669146
"Abortion",1,1,22,0,3,"democrat","control",0.941554604123721
"Immigration",NA,1,27,NA,NA,"independent","control",1.04248802825037
"Iran_Agreement",NA,1,62,0,5,"republican","control",1.03073090322964
"Tax_Increase",1,1,35,NA,1,"democrat","control",0.906226697479936
"Climate_Change",1,1,76,1,1,"democrat","libtrump",1.10442909205472
"Tax_Increase",1,1,37,NA,5,"republican","control",1.00122476621107
"Planned_Parenthood",1,1,50,1,1,"democrat","control",1.01868397107513
"Iran_Agreement",0,0,28,0,4,"democrat","control",0.982209290964157
"Minimum_Wage",1,1,34,0,1,"democrat","control",0.886300677098751
"School_Guns",1,0,38,0,1,"democrat","control",1.05582879227886
"Health_Care",1,1,80,NA,1,"democrat","control",0.953262689451636
"School_Guns",0,1,22,1,1,"independent","control",0.96299844639968
"Climate_Change",0,1,53,0,5,"republican","control",1.01698838986807
"School_Guns",0,1,63,1,3,"republican","control",0.921772281764263
"Planned_Parenthood",0,1,74,NA,5,"republican","control",0.984126797165406
"Guns_Background",0,0,28,0,2,"democrat","control",1.02092182725226
"Climate_Change",1,1,37,0,5,"republican","control",1.01774306218196
"Abortion",1,1,37,0,NA,"independent","libtrump",1.02961672802198
"Tax_Increase",1,1,25,0,3,"republican","control",0.984793214392095
"Minimum_Wage",NA,0,43,0,3,"independent","control",0.965341618420603
"Immigration",1,1,64,0,1,"independent","libtrump",1.00997642602303
"Immigration",NA,0,22,0,4,"democrat","control",0.988280593912909
"Climate_Change",0,0,77,0,5,"republican","control",1.01349337373962
"Health_Care",0,1,43,0,NA,"republican","control",0.944164988225091
"School_Guns",1,1,61,NA,3,"independent","libtrump",0.943496486836764
"Iran_Agreement",1,1,57,1,3,"republican","control",0.939304874939414
"School_Guns",0,0,31,0,2,"democrat","control",1.00709156511573
"Minimum_Wage",1,1,63,0,1,"independent","control",1.04389422119849
"Iran_Agreement",1,0,59,1,1,"democrat","control",0.952618332403034
"School_Guns",0,1,62,0,5,"republican","control",0.952463208083317
"Climate_Change",1,1,55,NA,5,"republican","libtrump",1.01556873793786
"Abortion",1,1,58,NA,1,"independent","libtrump",0.94162009581028
"Guns_Background",1,1,42,1,1,"democrat","control",1.03238128528219
"Iran_Agreement",0,1,36,1,4,"republican","control",0.989633375886251
"Planned_Parenthood",NA,1,37,NA,4,"republican","libtrump",0.935616377050889
"Immigration",0,1,55,0,4,"independent","libtrump",1.01412182404781
"Iran_Agreement",0,1,75,0,5,"republican","control",0.957679648874221
"Climate_Change",0,1,75,0,5,"republican","control",0.930986207693789
"Abortion",1,1,60,1,1,"democrat","libtrump",0.999685136142976
"Health_Care",0,1,66,1,5,"republican","control",0.974786795988139
"Guns_Background",NA,0,27,NA,NA,"democrat","control",0.967116400808854
"Health_Care",0,1,37,1,1,"republican","control",0.95143779407839
"Planned_Parenthood",0,1,28,0,5,"republican","control",1.04093392906476
"Planned_Parenthood",NA,0,19,0,NA,"independent","control",0.980407718620892
"Iran_Agreement",1,1,41,0,1,"democrat","control",0.993423475898924
"Guns_Background",0,1,82,0,5,"republican","control",0.950416749917267
"School_Guns",1,0,43,0,2,"democrat","libtrump",0.909707175616863
"Minimum_Wage",0,1,71,0,1,"republican","control",1.00560561203995
"Iran_Agreement",0,1,63,0,5,"republican","control",0.997454305112947
"Abortion",1,1,57,1,1,"democrat","libtrump",1.03708197647591
"Abortion",NA,0,39,0,NA,"independent","control",1.03032788742094
"Planned_Parenthood",1,1,69,0,1,"democrat","control",0.932304403884305
"Tax_Increase",1,1,68,0,2,"democrat","libtrump",1.08545581378755
"Guns_Background",1,1,69,NA,4,"republican","control",1.05802300324063
"Health_Care",1,1,35,0,1,"democrat","control",0.974951402411536
"Abortion",NA,1,24,0,5,"republican","control",0.984804853287661
"Health_Care",1,0,37,0,1,"democrat","control",0.940105933032072
"Health_Care",0,1,36,0,2,"independent","control",0.979609834084309
"Health_Care",1,1,63,0,1,"democrat","control",1.05004925906835
"Immigration",1,0,31,0,1,"independent","control",1.06396210356882
"School_Guns",1,1,22,0,3,"democrat","control",1.02230454536768
"Immigration",NA,0,51,NA,3,"independent","libtrump",0.983131059283762
"Iran_Agreement",1,1,47,1,1,"independent","libtrump",0.959293528170543
"Abortion",1,1,33,0,1,"democrat","control",0.968594746875646
"Climate_Change",1,1,63,NA,1,"democrat","libtrump",1.08945888708977
"Immigration",1,1,60,0,4,"republican","libtrump",1.02583605988151
"Guns_Background",1,1,33,0,4,"republican","control",0.980918641880354
"Climate_Change",1,1,27,1,4,"democrat","control",0.904659130590876
"Minimum_Wage",1,1,60,0,4,"democrat","libtrump",0.945513307306121
"Abortion",1,1,42,1,2,"democrat","control",1.02942284939637
"Climate_Change",1,0,30,0,5,"democrat","control",1.0171576707517
"Immigration",1,0,25,NA,3,"independent","control",1.12049193823225
"Immigration",NA,0,40,0,3,"independent","libtrump",1.02582411965196
"Abortion",1,1,25,0,3,"independent","libtrump",1.07985429052758
"Climate_Change",1,1,50,1,3,"republican","control",0.954648293564243
"Immigration",0,0,53,1,2,"democrat","libtrump",1.04202114809302
"Planned_Parenthood",0,1,56,0,4,"republican","control",1.04039735161401
"Minimum_Wage",0,1,52,0,1,"independent","control",1.04797494632588
"Health_Care",1,1,25,0,2,"independent","control",1.01776429364298
"Minimum_Wage",1,1,60,0,1,"democrat","control",1.01284295218258
"Immigration",1,1,35,NA,1,"democrat","control",0.982515202663195
"Health_Care",NA,1,59,0,3,"republican","control",1.03178117099454
"Minimum_Wage",1,0,38,0,4,"democrat","control",0.978895998568917
"Health_Care",1,0,40,0,4,"democrat","control",1.11778130059751
"Minimum_Wage",1,1,29,0,1,"independent","libtrump",1.01077580553642
"Climate_Change",0,1,82,0,5,"republican","control",0.992836475350689
"Planned_Parenthood",1,1,35,NA,1,"democrat","control",1.03440317596379
"Immigration",1,0,63,0,1,"democrat","libtrump",0.976250963660292
"Abortion",NA,1,60,0,2,"independent","control",1.08405858732958
"Iran_Agreement",1,1,66,NA,1,"democrat","libtrump",0.994873459817091
"Abortion",1,1,24,0,1,"democrat","control",0.988560454082773
"Tax_Increase",NA,1,37,NA,3,"independent","control",0.97904360288698
"Climate_Change",1,1,39,0,2,"independent","control",0.962613520249139
"Climate_Change",1,1,67,0,NA,"independent","control",1.04820209633359
"Planned_Parenthood",1,1,75,0,5,"republican","control",1.00261052969434
"Health_Care",0,1,60,1,3,"republican","control",1.00628896090672
"Iran_Agreement",1,1,69,0,1,"democrat","control",1.06680672237107
"Minimum_Wage",1,0,25,1,1,"democrat","control",1.00625786670344
"Health_Care",0,1,50,1,3,"republican","control",1.06320468677355
"Climate_Change",0,1,30,NA,3,"republican","control",0.929803468687847
"Health_Care",0,1,52,1,4,"republican","libtrump",0.979503613651675
"Tax_Increase",1,1,71,0,1,"democrat","control",1.04881941951269
"Minimum_Wage",1,0,71,0,4,"democrat","libtrump",1.03508214114052
"Iran_Agreement",0,1,57,NA,3,"republican","control",1.02378336744443
"Iran_Agreement",NA,1,63,0,5,"republican","control",0.964791776224615
"Minimum_Wage",0,1,19,NA,2,"independent","control",0.971393320701026
"Minimum_Wage",0,1,73,1,5,"republican","control",1.04535704124947
"Tax_Increase",1,0,57,0,1,"democrat","libtrump",1.02010653202163
"Tax_Increase",1,0,46,NA,1,"democrat","control",0.973150547896194
"Abortion",0,1,41,0,4,"republican","libtrump",1.02346328923296
"Abortion",1,1,53,0,5,"republican","control",0.998511623541497
"Tax_Increase",1,1,44,0,1,"democrat","control",0.983294907378637
"Immigration",0,1,64,0,5,"republican","libtrump",1.00124393748585
"Iran_Agreement",1,1,58,0,4,"republican","control",0.911679275892321
"Minimum_Wage",NA,1,24,0,1,"democrat","control",1.05820254618882
"School_Guns",0,0,29,0,3,"democrat","control",0.966281735169243
"Guns_Background",1,0,34,0,2,"democrat","control",0.930823208588524
"Immigration",1,1,42,1,2,"democrat","control",0.948578402829762
"Iran_Agreement",1,1,72,0,1,"democrat","control",1.01396072667824
"Iran_Agreement",0,0,57,1,5,"republican","libtrump",0.962121010213224
"Tax_Increase",1,1,52,0,2,"independent","libtrump",1.00342922541509
"School_Guns",1,1,48,0,3,"independent","libtrump",1.01247995903184
"Iran_Agreement",1,1,41,0,2,"democrat","libtrump",1.0271750143703
"Planned_Parenthood",0,1,61,0,4,"republican","control",0.950141780497032
"Climate_Change",0,1,62,0,4,"republican","libtrump",0.942132328139381
"Health_Care",1,1,40,0,NA,"independent","control",0.922846125745781
"Climate_Change",NA,1,60,NA,5,"republican","libtrump",1.02483412927222
"Planned_Parenthood",1,0,26,0,3,"democrat","libtrump",0.887929546702242
"Guns_Background",1,0,25,0,4,"democrat","control",1.01656291415283
"Tax_Increase",1,1,68,0,2,"republican","control",0.993824237501785
"Planned_Parenthood",1,1,60,0,1,"democrat","control",1.02058749032583
"Tax_Increase",1,1,91,NA,1,"democrat","control",1.01582298470492
"Guns_Background",1,1,41,0,1,"republican","libtrump",0.967987257983408
"Tax_Increase",1,1,49,0,1,"democrat","control",1.04468772811633
"Climate_Change",0,1,85,0,5,"republican","control",1.03062230259954
"Health_Care",1,1,74,NA,1,"democrat","control",0.988953383651787
"Health_Care",NA,1,60,0,5,"independent","control",1.07112029949656
"Health_Care",1,0,38,0,4,"democrat","control",1.06377193622781
"Abortion",0,0,42,0,1,"democrat","libtrump",1.04095398164044
"School_Guns",1,1,50,0,3,"republican","control",1.01001114439244
"Health_Care",0,1,53,0,5,"republican","control",0.981072422011818
"Minimum_Wage",1,0,42,0,1,"democrat","libtrump",0.988090864992759
"Health_Care",1,1,37,NA,5,"republican","control",0.962902648072597
"Planned_Parenthood",1,0,20,0,3,"independent","control",1.03133564681224
"Abortion",1,0,29,0,2,"independent","libtrump",1.0486188689552
"Minimum_Wage",0,1,36,0,2,"independent","control",1.00683918009472
"Abortion",0,1,59,0,5,"republican","control",1.02883115355041
"Guns_Background",0,1,63,1,3,"republican","control",1.05111571432538
"Tax_Increase",0,0,31,0,5,"independent","control",1.02046231410009
"Tax_Increase",NA,0,28,0,2,"democrat","control",1.07592685026003
"Minimum_Wage",1,0,57,1,5,"republican","libtrump",0.933268375830982
"Planned_Parenthood",1,1,43,1,5,"republican","libtrump",0.97260608267786
"Planned_Parenthood",1,0,38,0,1,"democrat","control",0.979474195851069
"Planned_Parenthood",1,1,48,1,1,"democrat","control",0.939730787206136
"Climate_Change",1,0,61,NA,2,"democrat","libtrump",1.11213675827001
"School_Guns",NA,1,43,0,2,"republican","control",0.908719160995406
"Guns_Background",1,1,67,1,4,"independent","control",1.03400992120169
"Iran_Agreement",NA,1,46,0,5,"republican","control",0.959333047746521
"Abortion",0,0,36,0,2,"democrat","control",0.907642151044763
"Abortion",1,1,63,0,5,"democrat","control",1.00991185221067
"School_Guns",1,1,48,0,1,"independent","libtrump",0.967035523446117
"Health_Care",1,1,27,NA,1,"democrat","control",1.03513024523357
"School_Guns",NA,1,71,0,1,"republican","control",0.871098127627382
"Planned_Parenthood",NA,0,56,0,2,"independent","control",1.02185953349001
"Immigration",1,1,40,0,4,"republican","libtrump",0.919138413474846
"Iran_Agreement",1,1,33,0,1,"democrat","control",1.0433724396939
"Guns_Background",1,1,43,NA,3,"republican","control",0.936780497768623
"Minimum_Wage",1,1,71,0,1,"independent","control",1.04794229878958
"Health_Care",1,1,20,NA,1,"independent","libtrump",1.01545620341242
"Planned_Parenthood",0,1,64,0,5,"republican","libtrump",0.93500042464274
"Tax_Increase",1,1,71,0,1,"independent","control",1.04191476587523
"Health_Care",1,1,67,0,NA,"independent","control",0.953393381877013
"Minimum_Wage",1,1,52,0,1,"democrat","control",0.95076995245124
"School_Guns",NA,1,38,1,NA,"republican","control",0.973913495257406
"Iran_Agreement",1,1,37,0,NA,"independent","libtrump",0.923889294369146
"Minimum_Wage",1,1,50,0,1,"democrat","control",0.980420720922033
"Health_Care",1,1,21,NA,1,"democrat","libtrump",0.989861864422074
"Abortion",1,0,30,0,1,"democrat","libtrump",0.899793332075216
"Abortion",0,1,31,0,2,"republican","control",1.06449465412874
"Minimum_Wage",1,1,21,0,1,"democrat","control",1.01331652547733
"Guns_Background",1,1,72,0,1,"democrat","libtrump",1.02418864133909
"Iran_Agreement",NA,1,27,NA,NA,"independent","control",0.962460185836592
"Immigration",1,0,37,0,1,"democrat","libtrump",1.00225303251517
"Health_Care",1,0,48,0,1,"democrat","control",1.05424513175176
"Health_Care",NA,1,44,0,1,"democrat","control",0.994554559850377
"Immigration",0,1,37,0,5,"republican","control",1.00647043189865
"Iran_Agreement",0,1,43,1,4,"republican","control",1.03947613950146
"Health_Care",1,0,28,0,1,"democrat","control",1.02790278341938
"Minimum_Wage",1,1,33,0,5,"independent","libtrump",1.06841822036143
"Climate_Change",1,1,34,0,5,"independent","control",1.04707421018056
"Iran_Agreement",0,1,47,1,4,"republican","libtrump",1.02320998608939
"Minimum_Wage",0,1,64,0,4,"republican","libtrump",1.10569630286025
"School_Guns",1,0,25,0,4,"republican","libtrump",1.02448176149425
"Climate_Change",1,0,79,0,1,"democrat","control",1.00261165903999
"Minimum_Wage",1,0,36,1,1,"democrat","control",1.13373097513067
"Climate_Change",NA,0,34,0,5,"republican","control",1.00319238668537
"Health_Care",0,1,43,1,4,"republican","control",1.04636696774773
"Abortion",1,1,32,1,1,"democrat","control",0.975075909642032
"Immigration",0,0,48,0,1,"democrat","control",1.00796440896031
"Planned_Parenthood",1,1,50,1,3,"republican","control",1.06173719744826
"Planned_Parenthood",0,1,38,0,NA,"independent","libtrump",0.992743323045898
"Guns_Background",NA,1,61,0,4,"republican","control",1.01946266286637
"School_Guns",1,0,22,0,1,"democrat","libtrump",1.03602147566577
"Abortion",NA,1,47,0,3,"independent","libtrump",1.04053845450672
"Planned_Parenthood",NA,0,28,0,NA,"independent","control",0.958008552399022
"Abortion",0,1,37,NA,5,"republican","control",0.998338024510432
"Immigration",1,1,60,1,1,"democrat","libtrump",1.01883110708268
"Iran_Agreement",NA,0,48,0,1,"democrat","control",1.02474672744282
"School_Guns",0,1,40,0,5,"republican","libtrump",0.967891923679686
"Climate_Change",0,1,54,0,NA,"republican","control",0.970269737295079
"Immigration",1,1,59,0,1,"democrat","control",1.02101252364599
"Immigration",0,1,53,1,4,"republican","control",1.04263862199707
"Health_Care",1,1,67,1,4,"independent","control",0.992422636027969
"Health_Care",1,1,41,0,1,"democrat","control",0.958311448516486
"Planned_Parenthood",1,0,34,0,2,"democrat","control",0.997066935321727
"Health_Care",1,1,20,0,1,"democrat","control",0.988693711552102
"School_Guns",NA,1,59,0,3,"republican","control",1.00400533868169
"School_Guns",0,1,66,1,5,"republican","control",0.932756095123469
"Minimum_Wage",1,1,54,0,5,"republican","control",1.01172648072043
"Abortion",0,0,31,0,2,"democrat","control",1.08096736233516
"Planned_Parenthood",1,1,36,0,1,"democrat","control",1.0646131359594
"Abortion",NA,1,32,0,5,"independent","control",1.02075664326711
"Planned_Parenthood",0,1,82,1,4,"republican","control",0.957362820812814
"School_Guns",0,1,69,0,5,"independent","control",0.962345394529084
"Tax_Increase",1,0,58,NA,1,"democrat","control",0.972453671102893
"Immigration",0,1,34,NA,4,"republican","libtrump",1.05115607462115
"Abortion",1,1,47,1,1,"independent","libtrump",0.996786312891809
"School_Guns",0,1,58,0,4,"democrat","control",0.95404254768996
"Planned_Parenthood",NA,1,27,1,4,"democrat","control",1.02684276734478
"Climate_Change",1,1,35,0,1,"independent","control",1.01014652700404
"School_Guns",0,1,40,0,4,"republican","control",1.03035037659566
"Abortion",1,0,37,0,1,"democrat","libtrump",0.967388624815527
"Abortion",1,1,61,1,4,"republican","control",1.02566003496517
"Abortion",NA,0,29,0,3,"democrat","control",1.00626285807914
"School_Guns",1,0,77,0,5,"republican","control",1.00519144977573
"Health_Care",1,1,59,0,1,"democrat","control",0.964677683796969
"Iran_Agreement",1,1,32,1,1,"democrat","control",1.08654042714022
"School_Guns",1,0,27,NA,1,"democrat","control",1.01949098060086
"Minimum_Wage",1,0,33,0,NA,"independent","libtrump",0.988779660535194
"School_Guns",NA,1,19,NA,2,"independent","control",0.964586592134678
"Minimum_Wage",1,1,66,0,1,"independent","control",0.946152430331467
"Immigration",1,1,25,1,1,"democrat","libtrump",1.00183367767767
"Planned_Parenthood",1,0,46,NA,1,"democrat","control",0.88293473929823
"Minimum_Wage",1,1,58,NA,1,"democrat","control",1.03549210821564
"School_Guns",NA,0,28,0,4,"democrat","control",1.00149138661841
"Guns_Background",1,0,36,0,2,"democrat","control",1.02089125978153
"Iran_Agreement",NA,1,20,1,4,"republican","control",1.114208687304
"Iran_Agreement",1,0,46,NA,1,"democrat","control",1.0721554498034
"Guns_Background",1,1,37,NA,5,"democrat","control",1.00848977947297
"Abortion",1,1,43,0,5,"independent","control",1.02451745370731
"Health_Care",NA,1,63,0,3,"democrat","control",1.07788177934576
"Tax_Increase",1,1,60,1,1,"democrat","libtrump",1.04882893773137
"Climate_Change",0,1,55,0,4,"independent","libtrump",0.905998559827394
"Planned_Parenthood",1,1,42,1,1,"democrat","control",1.03007214071302
"School_Guns",NA,0,25,NA,3,"independent","control",1.07434173018115
"Guns_Background",1,0,46,0,1,"democrat","control",0.981247942974063
"Iran_Agreement",NA,1,39,0,3,"republican","control",0.966319782068215
"Tax_Increase",NA,0,31,0,2,"democrat","control",0.966094126475002
"Planned_Parenthood",1,1,41,0,2,"democrat","libtrump",1.03851648896466
"Tax_Increase",1,1,38,1,1,"democrat","control",0.952960127125427
"Abortion",1,1,74,NA,1,"democrat","control",0.994186122772005
"Health_Care",1,1,38,0,5,"republican","libtrump",1.02783507307606
"Planned_Parenthood",1,1,33,0,1,"independent","libtrump",1.09121162694697
"Minimum_Wage",1,0,42,1,3,"democrat","control",1.00629909121144
"Climate_Change",1,1,32,0,1,"democrat","libtrump",0.954322645913838
"Abortion",0,1,69,NA,4,"republican","control",1.00278929372576
"Tax_Increase",NA,1,52,0,1,"democrat","libtrump",1.10984942978811
